Course ID,Course Name,Course Status,Course Prerequisites,Section,Available Seats,Total Seats,Section Status,Instructor,Min credits,Max credits
CSC 579,Introduction to Computer Performance Modeling,OPEN,CSC 312 or ECE 206 and MA 421,001,10,20,OPEN,"Rouskas,Georgios",3,3
CSC 580,Numerical Analysis I,CLOSED,MA 405; MA 425 or MA 511; high-level computer language,002,0,5,CLOSED,"Alexanderian,Alen",3,3
CSC 582,Computer Models of Interactive Narrative,CLOSED,,001,0,40,CLOSED,"Martens,Chris",3,3
CSC 591,Special Topics In Computer Science,OPEN,B average in technical subjects,001,0,20,WAITLIST,"Mueller,Rainer Frank",1,6
CSC 591,Special Topics In Computer Science,OPEN,B average in technical subjects,004,0,25,CLOSED,"Perros,Harilaos George",1,6
CSC 591,Special Topics In Computer Science,OPEN,B average in technical subjects,013,10,20,OPEN,"Roberts,David L",1,6
CSC 591,Special Topics In Computer Science,OPEN,B average in technical subjects,022,0,20,WAITLIST,"Stolee,Kathryn Thomasset",1,6
CSC 591,Special Topics In Computer Science,OPEN,B average in technical subjects,024,0,15,WAITLIST,"Ore,John-Paul",1,6
CSC 591,Special Topics In Computer Science,OPEN,B average in technical subjects,059,0,26,WAITLIST,"Viniotis,Ioannis",1,6
CSC 591,Special Topics In Computer Science,OPEN,B average in technical subjects,069,8,20,OPEN,"Eun,Do Young",1,6
CSC 591,Special Topics In Computer Science,OPEN,B average in technical subjects,078,3,10,OPEN,"Guvenc,Ismail",1,6
CSC 591,Special Topics In Computer Science,OPEN,B average in technical subjects,080,40,40,OPEN,"Aysu,Aydin",1,6
CSC 591,Special Topics In Computer Science,OPEN,B average in technical subjects,084,4,20,OPEN,"Lin,Shih-Chun",1,6
CSC 600,Computer Science Graduate Orientation,OPEN,,001,159,210,OPEN,"Healey,Christopher Graham",1,1
CSC 600,Computer Science Graduate Orientation,OPEN,,002,73,100,OPEN,"Healey,Christopher Graham",1,1
CSC 630,Master's Independent Study,OPEN,,001,100,100,OPEN,Staff,1,3
CSC 690,Master's Examination,OPEN,Master's student,001,100,100,OPEN,Staff,1,9
CSC 693,Master's Supervised Research,OPEN,Master's student,001,100,100,OPEN,Staff,1,9
CSC 695,Master's Thesis Research,OPEN,Master's student,001,98,100,OPEN,Staff,1,9
CSC 699,Master's Thesis Preparation,OPEN,Master's student,001,100,100,OPEN,Staff,1,9
CSC 712,Software Testing and Reliability,OPEN,CSC 510,022,5,20,OPEN,"Stolee,Kathryn Thomasset",3,3
CSC 722,Advanced Topics in Machine Learning,CLOSED,CSC 520,001,0,30,CLOSED,"Bahler,Dennis R",3,3
CSC 762,Computer Simulation Techniques,RESERVED,ST 512 and a scientific programming language,001,3,5,RESERVED,"Liu,Yunan",3,3
CSC 791,Advanced Topics In Computer Science,OPEN,,012,0,25,CLOSED,"Singh,Munindar P",1,6
CSC 791,Advanced Topics In Computer Science,OPEN,,024,12,15,OPEN,"Ore,John-Paul",1,6
CSC 801,Seminar in Computer Science,OPEN,Graduate standing,001,30,30,OPEN,"Jin,Guoliang",1,3
CSC 801,Seminar in Computer Science,OPEN,Graduate standing,002,27,50,OPEN,"Dutta,Rudra",1,3
CSC 830,Doctoral Independent Study,OPEN,,001,100,100,OPEN,Staff,1,3
CSC 885,Doctoral Supervised Teaching,OPEN,Doctoral student,001,100,100,OPEN,Staff,1,3
CSC 890,Doctoral Preliminary Exam,OPEN,Doctoral student,001,98,100,OPEN,Staff,1,9
CSC 893,Doctoral Supervised Research,OPEN,Doctoral student,001,179,200,OPEN,Staff,1,9
CSC 895,Doctoral Dissertation Research,OPEN,Doctoral student,001,99,100,OPEN,Staff,1,9
CSC 899,Doctoral Dissertation Preparation,OPEN,Doctoral student,001,100,100,OPEN,Staff,1,9
